"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00047765","1951-07-29","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","  100",",,0",,,,,"  117",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-30","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  172",",,0","   94",",,0",,,,,"  150",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-07-31","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  100",",,0",,,,,"  139",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-01","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  139",",,0","  100",",,0",,,,,"  139",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-02","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  106",",,0",,,,,"  144",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-03","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  144",",,0","  106",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-04","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0","T,,0","    0",",,0","    0",",,0","  144",",,0","  106",",,0",,,,,"  139",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-05","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  161",",,0","  106",",,0",,,,,"  150",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-06","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  156",",,0","  100",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-07","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0","T,,0","    0",",,0","    0",",,0","  139",",,0","  100",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-08","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0","T,,0","    0",",,0","    0",",,0","  133",",,0","  100",",,0",,,,,"  122",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-09","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  150",",,0","  106",",,0",,,,,"  139",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-10","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  139",",,0","  100",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-11","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  106",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-08-12","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  172",",,0","   94",",,0",,,,,"  161",",,0",,,,,,,,,,
"USC00047765","1951-08-13","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  178",",,0","  106",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-08-14","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  194",",,0","   89",",,0",,,,,"  172",",,0",,,,,,,,,,
"USC00047765","1951-08-15","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  172",",,0","   94",",,0",,,,,"  150",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-16","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  100",",,0",,,,,"  144",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-17","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  144",",,0","  100",",,0",,,,,"  144",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-18","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  111",",,0",,,,,"  144",",,0",,,,,,,,,,
"USC00047765","1951-08-19","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  167",",,0","  122",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-20","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  167",",,0","  117",",,0",,,,,"  156",",,0",,,,,,,,,,
"USC00047765","1951-08-21","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   36",",,0","    0",",,0","    0",",,0","  178",",,0","  133",",,0",,,,,"  167",",,0",,,"    1",",,0",,,,,,
"USC00047765","1951-08-22","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  167",",,0","  133",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-08-23","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  111",",,0",,,,,"  139",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-24","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  117",",,0",,,,,"  133",",,0",,,,,,,,,,
"USC00047765","1951-08-25","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","  106",",,0",,,,,"  144",",,0",,,,,,,,,,
"USC00047765","1951-08-26","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  106",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-08-27","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  172",",,0","  100",",,0",,,,,"  144",",,0",,,,,,,,,,
"USC00047765","1951-08-28","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  178",",,0","  111",",,0",,,,,"  161",",,0",,,,,,,,,,
"USC00047765","1951-08-29","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   43",",,0","    0",",,0","    0",",,0","  200",",,0","  128",",,0",,,,,"  189",",,0",,,,,,,,,,
"USC00047765","1951-08-30","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   36",",,0","    0",",,0","    0",",,0","  194",",,0","  139",",,0",,,,,"  172",",,0",,,,,,,,,,
"USC00047765","1951-08-31","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  106",",,0",,,,,"  144",",,0",,,,,,,,,,
"USC00047765","1951-09-01","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  111",",,0",,,,,"  128",",,0",,,,,,,,,,
"USC00047765","1951-09-02","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  106",",,0",,,,,"  133",",,0",,,,,,,,,,
"USC00047765","1951-09-03","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  139",",,0","  106",",,0",,,,,"  139",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-09-04","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  167",",,0","  111",",,0",,,,,"  161",",,0",,,,,,,,,,
"USC00047765","1951-09-05","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","  122",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-09-06","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","  106",",,0",,,,,"  144",",,0",,,,,,,,,,
"USC00047765","1951-09-07","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  200",",,0","  111",",,0",,,,,"  194",",,0",,,,,,,,,,
"USC00047765","1951-09-08","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  311",",,0","  111",",,0",,,,,"  250",",,0",,,,,,,,,,
"USC00047765","1951-09-09","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  272",",,0","  117",",,0",,,,,"  250",",,0",,,,,,,,,,
"USC00047765","1951-09-10","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  256",",,0","  122",",,0",,,,,"  172",",,0",,,,,,,,,,
"USC00047765","1951-09-11","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  178",",,0","  111",",,0",,,,,"  167",",,0",,,,,,,,,,
"USC00047765","1951-09-12","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  172",",,0","  122",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-09-13","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  178",",,0","  117",",,0",,,,,"  167",",,0",,,,,,,,,,
"USC00047765","1951-09-14","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  189",",,0","  128",",,0",,,,,"  178",",,0",,,,,,,,,,
"USC00047765","1951-09-15","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  267",",,0","  122",",,0",,,,,"  267",",,0",,,,,,,,,,
"USC00047765","1951-09-16","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  294",",,0","  139",",,0",,,,,"  172",",,0",,,,,,,,,,
"USC00047765","1951-09-17","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  200",",,0","  117",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-09-18","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","  111",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-09-19","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","  117",",,0",,,,,"  156",",,0",,,,,,,,,,
"USC00047765","1951-09-20","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","  111",",,0",,,,,"  139",",,0",,,,,,,,,,
"USC00047765","1951-09-21","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","  100",",,0",,,,,"  139",",,0",,,,,,,,,,
"USC00047765","1951-09-22","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","  106",",,0",,,,,"  133",",,0",,,,,,,,,,
"USC00047765","1951-09-23","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  100",",,0",,,,,"  133",",,0",,,,,,,,,,
"USC00047765","1951-09-24","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  111",",,0",,,,,"  133",",,0",,,,,,,,,,
"USC00047765","1951-09-25","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","  111",",,0",,,,,"  144",",,0",,,,,,,,,,
"USC00047765","1951-09-26","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  150",",,0","  106",",,0",,,,,"  133",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-09-27","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   10",",,0","    0",",,0","    0",",,0","  161",",,0","  111",",,0",,,,,"  161",",,0",,,,,,,,,,
"USC00047765","1951-09-28","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   30",",,0","    0",",,0","    0",",,0","  189",",,0","  117",",,0",,,,,"  183",",,0",,,,,,,,,,
"USC00047765","1951-09-29","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  200",",,0","  139",",,0",,,,,"  172",",,0",,,,,,,,,,
"USC00047765","1951-09-30","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  122",",,0",,,,,"  167",",,0",,,,,,,,,,
"USC00047765","1951-10-01","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   74",",,0","    0",",,0","    0",",,0","  189",",,0","  144",",,0",,,,,"  178",",,0",,,,,,,,,,
"USC00047765","1951-10-02","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   51",",,0","    0",",,0","    0",",,0","  178",",,0","  144",",,0",,,,,"  156",",,0",,,,,,,,,,
"USC00047765","1951-10-03","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  206",",,0","  111",",,0",,,,,"  200",",,0",,,,,,,,,,
"USC00047765","1951-10-04","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  222",",,0","  100",",,0",,,,,"  206",",,0",,,,,,,,,,
"USC00047765","1951-10-05","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00047765","1951-10-06","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  294",",,0","  111",",,0",,,,,"  244",",,0",,,,,,,,,,
"USC00047765","1951-10-07","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  322",",,0","  128",",,0",,,,,"  283",",,0",,,,,,,,,,
"USC00047765","1951-10-08","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  289",",,0","  122",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-10-09","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","   94",",,0",,,,,"  139",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-10-10","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   13",",,0","    0",",,0","    0",",,0","  200",",,0","  117",",,0",,,,,"  189",",,0",,,,,,,,,,
"USC00047765","1951-10-11","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  189",",,0","  122",",,0",,,,,"  167",",,0",,,,,,,,,,
"USC00047765","1951-10-12","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  211",",,0","  144",",,0",,,,,"  189",",,0",,,,,,,,,,
"USC00047765","1951-10-13","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  233",",,0","  100",",,0",,,,,"  206",",,0",,,,,,,,,,
"USC00047765","1951-10-14","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  222",",,0","  100",",,0",,,,,"  183",",,0",,,,,,,,,,
"USC00047765","1951-10-15","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  122",",,0",,,,,"  156",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-10-16","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","  100",",,0",,,,,"  144",",,0",,,,,,,,,,
"USC00047765","1951-10-17","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  111",",,0",,,,,"  161",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-10-18","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  178",",,0","  128",",,0",,,,,"  167",",,0",,,,,,,,,,
"USC00047765","1951-10-19","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  122",",,0",,,,,"  178",",,0",,,,,,,,,,
"USC00047765","1951-10-20","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  194",",,0","   83",",,0",,,,,"  167",",,0",,,,,,,,,,
"USC00047765","1951-10-21","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","   78",",,0",,,,,"  156",",,0",,,,,,,,,,
"USC00047765","1951-10-22","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","   89",",,0",,,,,"  172",",,0",,,,,,,,,,
"USC00047765","1951-10-23","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","   10",",,0","    0",",,0","    0",",,0","  172",",,0","  100",",,0",,,,,"  150",",,0",,,,,,,,,,
"USC00047765","1951-10-24","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","  137",",,0","    0",",,0","    0",",,0","  150",",,0","  111",",,0",,,,,"  117",",,0",,,,,,,,,,
"USC00047765","1951-10-25","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  100",",,0",,,,,"  144",",,0",,,,,,,,,,
"USC00047765","1951-10-26","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  206",",,0","   72",",,0",,,,,"  161",",,0",,,,,,,,,,
"USC00047765","1951-10-27","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  222",",,0","   72",",,0",,,,,"  178",",,0",,,,,,,,,,
"USC00047765","1951-10-28","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","   61",",,0",,,,,"  106",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-10-29","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    3",",,0","    0",",,0","    0",",,0","  144",",,0","   72",",,0",,,,,"  100",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-10-30","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  122",",,0","   83",",,0",,,,,"  111",",,0","    1",",,0",,,,,,,,
"USC00047765","1951-10-31","37.76667","-122.46667","75.9","SAN FRANCISCO CALIFORNIA ACADEMY OF SCIENCES, CA US","    0",",,0","    0",",,0","    0",",,0","  139",",,0","   94",",,0",,,,,"  128",",,0","    1",",,0",,,,,,,,
